Country,Fertility,Mortality
Faroe Islands,2.30,6.11
France,2.04,3.19
Iceland,1.96,1.66
Ireland,1.93,3.52
Kosovo,1.92,35.93
Gibraltar,1.91,6.38
Isle of Man,1.90,4.31
United Kingdom,1.86,4.27
Sweden,1.86,2.45
Norway,1.84,2.34
Montenegro,1.82,3.29
Netherlands,1.78,3.45
Denmark,1.77,3.09
Belgium,1.77,3.24
Finland,1.74,2.15
Liechtenstein,1.69,4.12
Jersey,1.66,3.94
Luxembourg,1.63,3.30
Estonia,1.61,3.47
Lithuania,1.61,3.66
Slovenia,1.59,1.53
Moldova,1.58,11.83
Guernsey,1.58,3.41
Switzerland,1.58,3.64
Ukraine,1.56,7.44
Latvia,1.54,4.93
Albania,1.53,11.10
Monaco,1.52,1.78
San Marino,1.52,6.67
Spain,1.51,3.14
Belarus,1.51,3.31
Austria,1.50,3.29
Malta,1.50,4.62
Bulgaria,1.49,8.14
Czechia,1.49,2.42
Germany,1.48,3.24
Cyprus,1.48,8.61
Hungary,1.48,4.69
Italy,1.47,3.14
Serbia,1.47,5.67
Slovakia,1.45,4.90
Andorra,1.44,3.50
Croatia,1.44,8.91
Portugal,1.42,2.53
Poland,1.39,4.22
Greece,1.39,3.61
Romania,1.38,9.41
Bosnia and Herzegovina,1.35,5.32
